t,x,u
0,0,1
0,0.01,0.999507
0,0.02,0.998027
0,0.03,0.995562
0,0.04,0.992115
0,0.05,0.987688
0,0.06,0.982287
0,0.07,0.975917
0,0.08,0.968583
0,0.09,0.960294
0,0.1,0.951057
0,0.11,0.940881
0,0.12,0.929776
0,0.13,0.917755
0,0.14,0.904827
0,0.15,0.891007
0,0.16,0.876307
0,0.17,0.860742
0,0.18,0.844328
0,0.19,0.827081
0,0.2,0.809017
0,0.21,0.790155
0,0.22,0.770513
0,0.23,0.750111
0,0.24,0.728969
0,0.25,0.707107
0,0.26,0.684547
0,0.27,0.661312
0,0.28,0.637424
0,0.29,0.612907
0,0.3,0.587785
0,0.31,0.562083
0,0.32,0.535827
0,0.33,0.509041
0,0.34,0.481754
0,0.35,0.45399
0,0.36,0.425779
0,0.37,0.397148
0,0.38,0.368125
0,0.39,0.338738
0,0.4,0.309017
0,0.41,0.278991
0,0.42,0.24869
0,0.43,0.218143
0,0.44,0.187381
0,0.45,0.156434
0,0.46,0.125333
0,0.47,0.0941083
0,0.48,0.0627905
0,0.49,0.0314108
0,0.5,6.12323e-17
0,0.51,-0.0314108
0,0.52,-0.0627905
0,0.53,-0.0941083
0,0.54,-0.125333
0,0.55,-0.156434
0,0.56,-0.187381
0,0.57,-0.218143
0,0.58,-0.24869
0,0.59,-0.278991
0,0.6,-0.309017
0,0.61,-0.338738
0,0.62,-0.368125
0,0.63,-0.397148
0,0.64,-0.425779
0,0.65,-0.45399
0,0.66,-0.481754
0,0.67,-0.509041
0,0.68,-0.535827
0,0.69,-0.562083
0,0.7,-0.587785
0,0.71,-0.612907
0,0.72,-0.637424
0,0.73,-0.661312
0,0.74,-0.684547
0,0.75,-0.707107
0,0.76,-0.728969
0,0.77,-0.750111
0,0.78,-0.770513
0,0.79,-0.790155
0,0.8,-0.809017
0,0.81,-0.827081
0,0.82,-0.844328
0,0.83,-0.860742
0,0.84,-0.876307
0,0.85,-0.891007
0,0.86,-0.904827
0,0.87,-0.917755
0,0.88,-0.929776
0,0.89,-0.940881
0,0.9,-0.951057
0,0.91,-0.960294
0,0.92,-0.968583
0,0.93,-0.975917
0,0.94,-0.982287
0,0.95,-0.987688
0,0.96,-0.992115
0,0.97,-0.995562
0,0.98,-0.998027
0,0.99,-0.999507
0,1,-1
0.01,0,0.99005
0.01,0.01,1.0001
0.01,0.02,0.999707
0.01,0.03,0.998327
0.01,0.04,0.995962
0.01,0.05,0.992615
0.01,0.06,0.988288
0.01,0.07,0.982987
0.01,0.08,0.976717
0.01,0.09,0.969483
0.01,0.1,0.961294
0.01,0.11,0.952157
0.01,0.12,0.942081
0.01,0.13,0.931076
0.01,0.14,0.919155
0.01,0.15,0.906327
0.01,0.16,0.892607
0.01,0.17,0.878007
0.01,0.18,0.862542
0.01,0.19,0.846228
0.01,0.2,0.829081
0.01,0.21,0.811117
0.01,0.22,0.792355
0.01,0.23,0.772813
0.01,0.24,0.752511
0.01,0.25,0.731469
0.01,0.26,0.709707
0.01,0.27,0.687247
0.01,0.28,0.664112
0.01,0.29,0.640324
0.01,0.3,0.615907
0.01,0.31,0.590885
0.01,0.32,0.565283
0.01,0.33,0.539127
0.01,0.34,0.512441
0.01,0.35,0.485254
0.01,0.36,0.45759
0.01,0.37,0.429479
0.01,0.38,0.400948
0.01,0.39,0.372025
0.01,0.4,0.342738
0.01,0.41,0.313117
0.01,0.42,0.283191
0.01,0.43,0.25299
0.01,0.44,0.222543
0.01,0.45,0.191881
0.01,0.46,0.161034
0.01,0.47,0.130033
