t,x,u
0.0,0.0,1.0
0.0,0.01,0.9995065603657316
0.0,0.02,0.9980267284282716
0.0,0.03,0.99556196460308
0.0,0.04,0.9921147013144779
0.0,0.05,0.9876883405951378
0.0,0.06,0.9822872507286887
0.0,0.07,0.9759167619387474
0.0,0.08,0.9685831611286311
0.0,0.09,0.9602936856769431
0.0,0.1,0.9510565162951535
0.0,0.11,0.9408807689542255
0.0,0.12,0.9297764858882515
0.0,0.13,0.9177546256839811
0.0,0.14,0.9048270524660195
0.0,0.15,0.8910065241883679
0.0,0.16,0.8763066800438636
0.0,0.17,0.8607420270039436
0.0,0.18,0.8443279255020151
0.0,0.19,0.8270805742745618
0.0,0.2,0.8090169943749475
0.0,0.21,0.7901550123756904
0.0,0.22,0.7705132427757893
0.0,0.23,0.7501110696304596
0.0,0.24,0.7289686274214116
0.0,0.25,0.7071067811865476
0.0,0.26,0.6845471059286886
0.0,0.27,0.6613118653236518
0.0,0.28,0.6374239897486896
0.0,0.29,0.6129070536529766
0.0,0.3,0.5877852522924731
0.0,0.31,0.5620833778521306
0.0,0.32,0.5358267949789965
0.0,0.33,0.5090414157503712
0.0,0.34,0.48175367410171516
0.0,0.35000000000000003,0.4539904997395468
0.0,0.36,0.42577929156507266
0.0,0.37,0.39714789063478056
0.0,0.38,0.3681245526846781
0.0,0.39,0.3387379202452915
0.0,0.4,0.30901699437494745
0.0,0.41000000000000003,0.2789911060392293
0.0,0.42,0.24868988716485496
0.0,0.43,0.2181432413965427
0.0,0.44,0.18738131458572474
0.0,0.45,0.15643446504023092
0.0,0.46,0.12533323356430426
0.0,0.47000000000000003,0.09410831331851428
0.0,0.48,0.06279051952931353
0.0,0.49,0.031410759078128396
0.0,0.5,6.123233995736766e-17
0.0,0.51,-0.03141075907812828
0.0,0.52,-0.0627905195293134
0.0,0.53,-0.09410831331851438
0.0,0.54,-0.12533323356430437
0.0,0.55,-0.15643446504023104
0.0,0.56,-0.18738131458572482
0.0,0.5700000000000001,-0.21814324139654256
0.0,0.58,-0.24868988716485463
0.0,0.59,-0.27899110603922916
0.0,0.6,-0.30901699437494734
0.0,0.61,-0.33873792024529137
0.0,0.62,-0.368124552684678
0.0,0.63,-0.39714789063478045
0.0,0.64,-0.4257792915650727
0.0,0.65,-0.4539904997395467
0.0,0.66,-0.48175367410171543
0.0,0.67,-0.5090414157503713
0.0,0.68,-0.5358267949789969
0.0,0.6900000000000001,-0.5620833778521307
0.0,0.7000000000000001,-0.587785252292473
0.0,0.71,-0.6129070536529763
0.0,0.72,-0.6374239897486897
0.0,0.73,-0.6613118653236517
0.0,0.74,-0.6845471059286887
0.0,0.75,-0.7071067811865475
0.0,0.76,-0.7289686274214113
0.0,0.77,-0.7501110696304596
0.0,0.78,-0.7705132427757891
0.0,0.79,-0.7901550123756904
0.0,0.8,-0.8090169943749473
0.0,0.81,-0.8270805742745619
0.0,0.8200000000000001,-0.8443279255020151
0.0,0.8300000000000001,-0.8607420270039438
0.0,0.84,-0.8763066800438634
0.0,0.85,-0.8910065241883678
0.0,0.86,-0.9048270524660194
0.0,0.87,-0.9177546256839811
0.0,0.88,-0.9297764858882513
0.0,0.89,-0.9408807689542255
0.0,0.9,-0.9510565162951535
0.0,0.91,-0.9602936856769431
0.0,0.92,-0.9685831611286311
0.0,0.93,-0.9759167619387474
0.0,0.9400000000000001,-0.9822872507286887
0.0,0.9500000000000001,-0.9876883405951377
0.0,0.96,-0.9921147013144778
0.0,0.97,-0.99556196460308
0.0,0.98,-0.9980267284282716
0.0,0.99,-0.9995065603657316
0.0,1.0,-1.0
0.01,0.0,0.9900498337491681
0.01,0.01,1.9897563941148997
0.01,0.02,2.9880831225431717
0.01,0.03,3.9840450871462516
0.01,0.04,4.976659788460729
0.01,0.05,5.964948129055868
0.01,0.06,6.947935379784557
0.01,0.07,7.924652141723304
0.01,0.08,8.894135302851934
0.01,0.09,9.855428988528876
0.01,0.1,10.80758550482403
0.01,0.11,11.749666273778255
0.01,0.12,12.680742759666506
0.01,0.13,13.599897385350488
0.01,0.14,14.506224437816508
0.01,0.15,15.398830962004876
0.01,0.16,16.27683764204874
0.01,0.17,17.139379669052683
0.01,0.18,17.985607594554697
0.01,0.19,18.814688168829257
0.01,0.2,19.625805163204202
0.01,0.21,20.418160175579892
0.01,0.22,21.190973418355682
0.01,0.23,21.943484487986144
0.01,0.24,22.674953115407558
0.01,0.25,23.384659896594105
0.01,0.26,24.071907002522796
0.01,0.27,24.736018867846447
0.01,0.28,25.376342857595137
0.01,0.29,25.992249911248113
0.01,0.3,26.583135163540586
0.01,0.31,27.148418541392715
0.01,0.32,27.68754533637171
0.01,0.33,28.19998675212208
0.01,0.34,28.685240426223793
0.01,0.35000000000000003,29.142830925963338
0.01,0.36,29.572310217528408
0.01,0.37,29.973258108163186
0.01,0.38,30.345282660847865
0.01,0.39,30.688020581093156
0.01,0.4,31.001137575468103
0.01,0.41000000000000003,31.284328681507333
0.01,0.42,31.537318568672188
0.01,0.43,31.75986181006873
0.01,0.44,31.951743124654456
0.01,0.45,32.11277758969469
0.01,0.46,32.24281082325899
0.01,0.47000000000000003,32.34171913657751
0.01,0.48,32.409409656106824
0.01,0.49,32.445820415184954
0.01,0.5,32.45092041518495
0.01,0.51,32.42470965610683
0.01,0.52,32.36721913657751
0.01,0.53,32.278510823259
0.01,0.54,32.15867758969469
0.01,0.55,32.007843124654464
0.01,0.56,31.82616181006874
0.01,0.5700000000000001,31.613818568672198
0.01,0.58,31.371028681507344
0.01,0.59,31.098037575468116
0.01,0.6,30.79512058109317
0.01,0.61,30.46258266084788
0.01,0.62,30.100758108163202
0.01,0.63,29.71001021752842
0.01,0.64,29.29073092596335
0.01,0.65,28.8433404262238
0.01,0.66,28.368286752122085
0.01,0.67,27.866045336371712
0.01,0.68,27.337118541392716
0.01,0.6900000000000001,26.782035163540588
0.01,0.7000000000000001,26.201349911248116
0.01,0.71,25.59564285759514
0.01,0.72,24.965518867846452
0.01,0.73,24.311607002522802
0.01,0.74,23.634559896594112
0.01,0.75,22.935053115407566
0.01,0.76,22.213784487986153
0.01,0.77,21.471473418355693
0.01,0.78,20.708860175579904
0.01,0.79,19.92670516320421
0.01,0.8,19.125788168829263
0.01,0.81,18.3069075945547
0.01,0.8200000000000001,17.470879669052685
0.01,0.8300000000000001,16.618537642048743
0.01,0.84,15.75073096200488
0.01,0.85,14.868324437816511
0.01,0.86,13.97219738535049
0.01,0.87,13.06324275966651
0.01,0.88,12.14236627377826
0.01,0.89,11.210485504824035
0.01,0.9,10.268528988528882
0.01,0.91,9.317435302851939
0.01,0.92,8.358152141723307
0.01,0.93,7.39163537978456
0.01,0.9400000000000001,6.418848129055871
0.01,0.9500000000000001,5.440759788460734
0.01,0.96,4.458345087146256
0.01,0.97,3.472583122543176
0.01,0.98,2.484456394114904
0.01,0.99,1.4949498337491725
0.01,1.0,0.5050498337491724
0.02,0.0,0.9801986733067553
0.02,0.01,2.9702550674216552
0.02,0.02,5.958738189964827
0.02,0.03,9.94328327711108
0.02,0.04,14.92054306557181
0.02,0.05,20.886191194627674
0.02,0.06,27.834926574412233
0.02,0.07,35.76047871613554
0.02,0.08,44.65561401898747
0.02,0.09,54.51214300751635
0.02,0.1,65.32092851234037
0.02,0.11,77.07189478611863
0.02,0.12,89.75403754578514
0.02,0.13,103.35543493113562
0.02,0.14,117.86325936895213
0.02,0.15,133.263790330957
0.02,0.16,149.54242797300574
0.02,0.17,166.68370764205844
0.02,0.18,184.67131523661314
0.02,0.19,203.48810340544242
0.02,0.2,223.1161085686466
0.02,0.21,243.53656874422649
0.02,0.22,264.7299421625822
0.02,0.23,286.67592665056833
0.02,0.24,309.35347976597586
0.02,0.25,332.74083966256995
0.02,0.26,356.8155466650927
0.02,0.27,381.55446553293916
0.02,0.28,406.9338083905343
0.02,0.29,432.9291583017824
0.02,0.3,459.515493465323
0.02,0.31,486.6672120067157
0.02,0.32,514.3581573430874
0.02,0.33,542.5616440952095
0.02,0.34,571.2504845214333
0.02,0.35000000000000003,600.3970154473967
0.02,0.36,629.9731256649251
0.02,0.37,659.9502837730884
0.02,0.38,690.2995664339362
0.02,0.39,720.9916870150294
0.02,0.4,751.9970245904974
0.02,0.41000000000000003,783.2856532720047
0.02,0.42,814.8273718406768
0.02,0.43,846.5917336507456
0.02,0.44,878.5480767754
0.02,0.45,910.6655543650946
0.02,0.46,942.9131651883537
0.02,0.47000000000000003,975.2597843249312
0.02,0.48,1007.674193981038
0.02,0.49,1040.1251143962231
0.02,0.5,1072.5812348114082
0.02,0.51,1105.011244467515
0.02,0.52,1137.3838636040925
0.02,0.53,1169.6678744273515
0.02,0.54,1201.8321520170462
0.02,0.55,1233.8456951417006
0.02,0.56,1265.6776569517692
0.02,0.5700000000000001,1297.2973755204416
0.02,0.58,1328.674404201949
0.02,0.59,1359.7785417774173
0.02,0.6,1390.5798623585106
0.02,0.61,1421.0487450193584
0.02,0.62,1451.1559031275217
0.02,0.63,1480.87241334505
0.02,0.64,1510.1697442710133
0.02,0.65,1539.0197846972371
0.02,0.66,1567.3948714493592
0.02,0.67,1595.267816785731
0.02,0.68,1622.6119353271238
0.02,0.6900000000000001,1649.4010704906643
0.02,0.7000000000000001,1675.6096204019125
0.02,0.71,1701.2125632595075
0.02,0.72,1726.185482127354
0.02,0.73,1750.5045891298766
0.02,0.74,1774.1467490264706
0.02,0.75,1797.0895021418783
0.02,0.76,1819.3110866298646
0.02,0.77,1840.7904600482204
0.02,0.78,1861.5073202238004
0.02,0.79,1881.4421253870046
0.02,0.8,1900.576113555834
0.02,0.81,1918.8913211503886
0.02,0.8200000000000001,1936.3706008194413
0.02,0.8300000000000001,1952.99763846149
0.02,0.84,1968.7569694234946
0.02,0.85,1983.6339938613112
0.02,0.86,1997.6149912466617
0.02,0.87,2010.6871340063283
0.02,0.88,2022.8385002801065
0.02,0.89,2034.0580857849304
0.02,0.9,2044.3358147734593
0.02,0.91,2053.6625500763116
0.02,0.92,2062.0301022180347
0.02,0.93,2069.4312375978193
0.02,0.9400000000000001,2075.859685726875
0.02,0.9500000000000001,2081.3101455153355
0.02,0.96,2085.778290602482
0.02,0.97,2089.260773725025
0.02,0.98,2091.7552301191404
0.02,0.99,2093.2602799528895
0.02,1.0,2093.775529786639
0.03,0.0,0.9704455335485082
0.03,0.01,3.9411006009701635
0.03,0.02,9.900338790934992
0.03,0.03,19.844222068046072
0.03,0.04,34.76546513361789
0.03,0.05,55.65245632824556
0.03,0.06,83.4882829026578
0.03,0.07,119.24976161879334
0.03,0.08,163.90647563778083
0.03,0.09,218.4198186452972
0.03,0.1,283.74204715763756
0.03,0.11,360.81534194375615
0.03,0.12,450.5708794895413
0.03,0.13,553.927914420677
0.03,0.14,671.7928737896291
0.03,0.15,805.0584641205861
0.03,0.16,954.6027920935918
0.03,0.17,1121.2884997356502
0.03,0.18,1305.9619149722632
0.03,0.19,1509.4522183777055
0.03,0.2,1732.5706269463521
0.03,0.21,1976.1095956905788
0.03,0.22,2240.842037853161
0.03,0.23,2527.520564503729
0.03,0.24,2836.876744269705
0.03,0.25,3169.620383932275
0.03,0.26,3526.438830597368
0.03,0.27,3907.996296130307
0.03,0.28,4314.933204520841
0.03,0.29,4747.865562822623
0.03,0.3,5207.3843562879465
0.03,0.31,5694.054968294662
0.03,0.32,6208.416625637749
0.03,0.33,6750.981869732959
0.03,0.34,7322.236054254393
0.03,0.35000000000000003,7922.63686970179
0.03,0.36,8552.613895366714
0.03,0.37,9212.568179139804
0.03,0.38,9902.87184557374
0.03,0.39,10623.86773258877
0.03,0.4,11375.869057179267
0.03,0.41000000000000003,12159.159110451272
0.03,0.42,12973.990982291947
0.03,0.43,13820.587315942694
0.03,0.44,14699.140092718093
0.03,0.45,15609.810447083188
0.03,0.46,16552.72851227154
0.03,0.47000000000000003,17527.993296596473
0.03,0.48,18535.67259057751
0.03,0.49,19575.80290497373
0.03,0.5,20648.38943978514
0.03,0.51,21753.406084252652
0.03,0.52,22890.795447856744
0.03,0.53,24060.468922284097
0.03,0.54,25262.306774301145
0.03,0.55,26496.158269442843
0.03,0.56,27761.84182639461
0.03,0.5700000000000001,29059.145201915053
0.03,0.58,30387.825706117
