t,x,u
0,0,1
0,0.01,0.999507
0,0.02,0.998027
0,0.03,0.995562
0,0.04,0.992115
0,0.05,0.987688
0,0.06,0.982287
0,0.07,0.975917
0,0.08,0.968583
0,0.09,0.960294
0,0.1,0.951057
0,0.11,0.940881
0,0.12,0.929776
0,0.13,0.917755
0,0.14,1
0,0.15,0.999507
0,0.16,0.998027
0,0.17,0.995562
0,0.18,0.992115
0,0.19,0.987688
0,0.2,0.982287
0,0.21,0.975917
0,0.22,0.968583
0,0.23,0.960294
0,0.24,0.951057
0,0.25,0.940881
0,0.26,0.929776
0,0.27,0.917755
0,0.28,1
0,0.29,0.999507
0,0.3,0.998027
0,0.31,0.995562
0,0.32,0.992115
0,0.33,0.987688
0,0.34,0.982287
0,0.35,0.975917
0,0.36,0.968583
0,0.37,0.960294
0,0.38,0.951057
0,0.39,0.940881
0,0.4,0.929776
0,0.41,0.917755
0,0.42,1
0,0.43,0.999507
0,0.44,0.998027
0,0.45,0.995562
0,0.46,0.992115
0,0.47,0.987688
0,0.48,0.982287
0,0.49,0.975917
0,0.5,0.968583
0,0.51,0.960294
0,0.52,0.951057
0,0.53,0.940881
0,0.54,0.929776
0,0.55,0.917755
0,0.56,1
0,0.57,0.999507
0,0.58,0.998027
0,0.59,0.995562
0,0.6,0.992115
0,0.61,0.987688
0,0.62,0.982287
0,0.63,0.975917
0,0.64,0.968583
0,0.65,0.960294
0,0.66,0.951057
0,0.67,0.940881
0,0.68,0.929776
0,0.69,0.917755
0,0.7,1
0,0.71,0.999507
0,0.72,0.998027
0,0.73,0.995562
0,0.74,0.992115
0,0.75,0.987688
0,0.76,0.982287
0,0.77,0.975917
0,0.78,0.968583
0,0.79,0.960294
0,0.8,0.951057
0,0.81,0.940881
0,0.82,0.929776
0,0.83,0.917755
0,0.84,1
0,0.85,0.999507
0,0.86,0.998027
0,0.87,0.995562
0,0.88,0.992115
0,0.89,0.987688
0,0.9,0.982287
0,0.91,0.975917
0,0.92,0.968583
0,0.93,0.960294
0,0.94,0.951057
0,0.95,0.940881
0,0.96,0.929776
0,0.97,0.917755
0,0.98,0.904827
0,0.99,0.891007
0,1,0.876307
0.01,0,0.99005
0.01,0.01,1.0001
0.01,0.02,0.999707
0.01,0.03,0.998327
0.01,0.04,0.995962
0.01,0.05,0.992615
0.01,0.06,0.988288
0.01,0.07,0.982987
0.01,0.08,0.976717
0.01,0.09,0.969483
0.01,0.1,0.961294
0.01,0.11,0.952157
0.01,0.12,0.942081
0.01,0.13,0.931076
0.01,0.14,0.0014
0.01,0.15,1.0015
0.01,0.16,1.00111
0.01,0.17,0.999727
0.01,0.18,0.997362
0.01,0.19,0.994015
0.01,0.2,0.989688
0.01,0.21,0.984387
0.01,0.22,0.978117
0.01,0.23,0.970883
0.01,0.24,0.962694
0.01,0.25,0.953557
0.01,0.26,0.943481
0.01,0.27,0.932476
0.01,0.28,0.0028
0.01,0.29,1.0029
0.01,0.3,1.00251
0.01,0.31,1.00113
0.01,0.32,0.998762
0.01,0.33,0.995415
0.01,0.34,0.991088
0.01,0.35,0.985787
0.01,0.36,0.979517
0.01,0.37,0.972283
0.01,0.38,0.964094
0.01,0.39,0.954957
0.01,0.4,0.944881
0.01,0.41,0.933876
0.01,0.42,0.0042
0.01,0.43,1.0043
0.01,0.44,1.00391
0.01,0.45,1.00253
0.01,0.46,1.00016
0.01,0.47,0.996815
0.01,0.48,0.992488
0.01,0.49,0.987187
0.01,0.5,0.980917
0.01,0.51,0.973683
0.01,0.52,0.965494
0.01,0.53,0.956357
